ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
502,老薑,52.5956,1.143,0.4836,11.6803
503,檳榔嫩莖,31.3181,2.232,0.4183,5.6331
504,大蒜,122.4864,6.6885,0.2269,26.4265
505,青蒜,32.7941,2.1337,0.254,6.4302
506,蒜苗,53.5059,2.229,0.083,12.0439
507,薤,10.164,0.54,0.16,1.9
508,青蔥平均值,28.417,1.3627,0.1897,5.9639
509,青蔥,22.4961,1.5487,0.2512,4.1887
510,山東大蔥,30.6474,1.304,0.1196,6.7256
511,日本甜蔥,33.2834,1.014,0.1382,7.5564
512,宜蘭粉蔥,27.2412,1.584,0.2497,5.3849
513,白洋蔥,41.9293,1.0005,0.058,9.9545
514,紫洋蔥,31.5642,0.8748,0.1088,7.2722
515,黃洋蔥,41.5585,0.9663,0.24,9.4918
516,紅蔥頭,74.9788,3.437,0.2625,16.353
517,韮菜花,24.4741,1.7763,0.2039,4.6445
518,韮菜,23.0272,1.8953,0.3507,3.8785
519,韮菜黃,16.2344,1.478,0.1215,2.909
520,九層塔,27.3979,2.904,0.2916,4.4484
521,小麥苗,34.0464,3.326,0.4841,5.4565
522,水菜(日本種),10.9221,1.164,0.201,1.5872
523,甘藍平均值,23.1788,1.308,0.1439,4.7557
524,梨山甘藍(尖球形),24.058,1.402,0.0614,5.0951
525,甘藍(扁圓形),21.0373,1.09,0.1754,4.2855
526,甘藍(圓球形),24.4409,1.432,0.1949,4.8866
527,甘藍(圓球形)(2021年取樣),20.2123,0.842,0.0,4.617
528,紫色甘藍,28.4625,1.484,0.1836,5.9071
529,甘藍芽,33.0137,2.6525,0.5995,5.3965
530,冷凍甘藍,20.4849,1.286,0.1,4.174
531,脫水甘藍,340.7258,6.856,0.06,82.631
532,甘藍乾,179.8448,7.22,1.12,38.86
533,酸甘藍菜,21.8839,1.449,0.1999,4.2088
534,甘藷葉,27.8434,3.1552,0.2784,4.4222
535,蚵仔白菜,12.5776,1.6,0.48,1.12
536,蚵仔白菜(2022年取樣),13.0932,1.399,0.3098,1.7525
537,荷葉白菜,14.4486,1.436,0.1004,2.5246
538,葵扇白菜,13.8586,1.552,0.073,2.3542
539,黑葉白菜(短梗),15.1397,1.343,0.0386,2.8969
540,千寶菜,20.1997,1.714,0.1968,3.6056
541,土植小白菜(1月取樣),10.4144,1.15,0.184,1.5029
542,土植小白菜(3月取樣),12.1752,1.55,0.0982,1.8698
543,土植小白菜(4月取樣),13.1398,1.05,0.199,2.2367
544,土植小白菜(7月取樣),10.4789,0.96,0.11,1.8059
545,土植小白菜(10月取樣),11.4178,1.065,0.24,1.6971
546,水植小白菜(1月取樣),12.7756,1.452,0.107,2.0707
547,水植小白菜(4月取樣),13.351,0.979,0.172,2.3965
548,水植小白菜(7月取樣),12.2164,0.902,0.077,2.3612
549,水植小白菜(10月取樣),11.9979,1.091,0.27,1.764
550,有機小白菜(1月取樣),9.2122,1.842,0.17,0.7598
551,有機小白菜(4月取樣),14.4059,1.254,0.195,2.4329
552,有機小白菜(7月取樣),10.9009,1.258,0.097,1.7418
553,有機小白菜(10月取樣),12.9507,1.347,0.24,1.9007
554,珍珠小白菜,11.1145,1.497,0.0718,1.6901
555,油菜心,30.9035,3.2,0.85,3.95
556,油菜,12.0508,1.419,0.2325,1.6377
557,土植青江菜(1月取樣),10.1525,1.307,0.049,1.62
558,土植青江菜(3月取樣),11.0584,0.353,0.1542,2.2674
559,土植青江菜(4月取樣),10.7355,0.96,0.125,1.8395
560,土植青江菜(7月取樣),14.8163,1.507,0.118,2.5334
561,土植青江菜(10月取樣),11.8552,1.425,0.21,1.6318
562,水植青江菜(1月取樣),12.4853,1.243,0.007,2.3513
563,水植青江菜(4月取樣),14.3465,1.397,0.16,2.3967
564,水植青江菜(7月取樣),13.9288,1.651,0.129,2.1855
565,水植青江菜(10月取樣),10.943,1.371,0.22,1.4127
566,有機青江菜(1月取樣),9.8742,1.531,0.003,1.4969
567,有機青江菜(4月取樣),14.8681,1.382,0.176,2.5062
568,有機青江菜(7月取樣),20.6762,1.944,0.243,3.4741
569,有機青江菜(10月取樣),9.4201,1.274,0.22,1.0874
570,塔菇菜,10.6053,2.738,0.1938,0.464
571,廣島野菜,7.7442,2.009,0.1413,0.3328
572,結球白菜平均值,16.7791,1.1926,0.2916,2.8753
573,煙台白菜,14.2885,1.296,0.255,2.2458
574,迷你竹筍白菜,18.9427,1.256,0.0891,3.8221
575,翠玉白菜,19.4448,1.0345,0.68,2.8315
576,包心白菜,14.4402,1.1837,0.1424,2.6018
577,白菜芽,54.1636,2.5663,0.3297,11.4565
578,白鳳菜,27.308,2.0,0.4,4.8
579,紅鳳菜,22.4936,2.115,0.3801,3.531
580,豆瓣菜,20.5147,2.17,0.29,3.18
581,明日葉,56.7617,1.434,0.7918,11.8916
582,山芹菜,27.349,2.8,2.2,0.41
583,芹菜平均值,15.3823,0.7933,0.1288,3.135
584,芹菜(青梗),12.3242,0.779,0.098,2.4264
585,芹菜(黃梗),18.4403,0.8075,0.1595,3.8435
586,西洋芹菜,11.1594,0.3783,0.1761,2.2293
587,大心芥菜,12.5392,0.9815,0.0329,2.4852
588,大芥菜,19.1256,0.75,0.48,3.37
589,包心芥菜,17.1009,1.0105,0.4742,2.6883
590,芥菜平均值,19.0774,1.5375,0.1595,3.5165
591,芥菜,17.7386,1.6025,0.1273,3.1986
592,雪裡蕻,20.4162,1.4725,0.1917,3.8343
593,抱子芥菜,20.8736,2.103,0.0542,3.8231
594,梅乾菜,105.2532,5.4865,1.1481,20.8382
595,榨菜,24.5084,1.287,0.3592,4.6487
596,酸菜,17.3159,0.8425,0.3202,3.1868
597,芥藍菜,19.9143,1.738,0.3473,3.1933
598,芥藍芽,26.223,2.223,0.3294,4.5235
599,芫荽,25.9745,2.2565,0.293,4.5154
600,紅梗珍珠菜,37.2118,2.6,1.025,5.595
601,食茱萸,126.509,11.9,0.3,23.8
